TimeSec,Speed,Throttle,Brake,RPM,nGear,session_id,car_id,Speed_ms,Delta_KE,Acceleration,Longitudinal_G,Aero_Drag_N,Aero_Downforce_N,Effective_Weight_N,Brake_Work_EMA,Convective_Cooling_Factor,Wheel_Speed_ms,Slip_Ratio,Normal_Load_N,Tire_Load_Factor,Tire_Stress_Index,Thermal_Decay_Indicator,Calculated_Degradation_Index,Sustained_Tire_Decay_Flag,Brake_Temp_Target
23.02,294.8691160532384,100.0,5.118249461896632e-31,10570.172655801247,6.534637525317504,2023-Monza-R,VER,81.9080877925662,9.324600452252525,2.8470456859921,0.2902187243620897,4725.60598203484,14382.27907575821,22210.65907575821,4.208699777247739e-10,1.6968030416883595,81.9080877925662,0.0,22210.65907575821,2.8371973608534855,0.0,0.0,0.0,False,177.45479543839338
23.04,295.0777308114086,100.0,4.754267465749891e-31,10582.310350873897,6.567731567285208,2023-Monza-R,VER,81.9660363365024,9.496266882098098,2.8974271968095877,0.2953544543129039,4732.294915019918,14402.63669788671,22231.01669788671,3.9982647883853517e-10,1.697763340616071,81.9660363365024,0.0,22231.01669788671,2.8397978506264017,0.0,0.0,0.0,False,177.45335498995553
23.06,295.28825803005344,100.0,3.2629037485022805e-31,10594.539477704064,6.703329629724931,2023-Monza-R,VER,82.02451611945929,9.59013191460599,2.9239891478447078,0.2980620945815196,4739.049964187268,14423.195543178645,22251.575543178646,3.798351548966084e-10,1.6987323053679912,82.02451611945929,0.0,22251.575543178646,2.842424044716614,0.0,0.0,0.0,False,177.45190154278365
23.080000000000002,295.49898270086874,100.0,3.758065953161728e-32,10605.169947563487,6.96583083952919,2023-Monza-R,VER,82.08305075024131,9.605975835253957,2.926731539101013,0.298341645168299,4745.816173416225,14443.788353875469,22272.16835387547,3.6084339715177796e-10,1.699702040555744,82.08305075024131,0.0,22272.16835387547,2.8450545775595293,0.0,0.0,0.0,False,177.45044693996024
23.1,295.70737752217696,100.0,-3.3996884794268212e-31,10612.845965965085,7.361841513223635,2023-Monza-R,VER,82.14093820060471,9.506508008870696,2.8943725181697744,0.29504307014982406,4752.512319994974,14464.167930419488,22292.54793041949,3.42801227294189e-10,1.7006609179824697,82.14093820060471,0.0,22292.54793041949,2.8476578717971646,0.0,0.0,0.0,False,177.44900862378046
23.12,295.90652167683834,100.0,-3.3607250494061934e-31,10618.01986214325,7.801730585611184,2023-Monza-R,VER,82.19625602134398,9.09077545076525,2.765891036963808,0.2819460792012036,4758.915634953106,14483.656280292063,22312.036280292064,3.2566116592947955e-10,1.7015771044683756,82.19625602134398,0.0,22312.036280292064,2.8501473204279897,0.0,0.0,0.0,False,177.4476343440139
23.14,296.08825589546,100.0,6.382396351712053e-31,10621.733077257617,8.166429743848301,2023-Monza-R,VER,82.2467377487389,8.3013663835045,2.524086369745504,0.2572972853970952,4764.762909899488,14501.452334476702,22329.8323344767,3.0937810763300554e-10,1.7024130868493659,82.2467377487389,0.0,22329.8323344767,2.8524205946155785,0.0,0.0,0.0,False,177.4463803704066
23.16,296.2499436313258,100.0,2.654217768160339e-30,10624.58120803674,8.404720114192502,2023-Monza-R,VER,82.2916510087016,7.389955428108806,2.2456629981356,0.22891569807702344,4769.968209754162,14517.294551425712,22345.674551425713,2.9390920225135523e-10,1.7031567685968854,82.2916510087016,0.0,22345.674551425713,2.854444284951128,0.0,0.0,0.0,False,177.44526484775128
23.18,296.3944721746528,100.0,5.265285934644751e-30,10626.713548212603,8.533256669149608,2023-Monza-R,VER,82.33179782629243,6.609107571550339,2.007340879541175,0.20462190413263762,4774.6234998998725,14531.462825782222,22359.842825782223,2.792137421387875e-10,1.7038214580337525,82.33179782629243,0.0,22359.842825782223,2.8562541452742742,0.0,0.0,0.0,False,177.44426781356364
23.2,296.5249689824817,100.0,8.002353994583743e-30,10628.259987039082,8.57164541801884,2023-Monza-R,VER,82.36804693957825,5.970223331075431,1.8124556642909795,0.18475592908164928,4778.828775958699,14544.261492048216,22372.641492048217,2.652530550318481e-10,1.7044215595731054,82.36804693957825,0.0,22372.641492048217,2.857889051380773,0.0,0.0,0.0,False,177.4433676612239
